INLINE ClassTable,Class Name,Class Description,Class Number,Default Promotion,Map Sprite+ACM- (standing),Walking Speed,Default Portrait,+ACoAKgAq-UNKNOWN+ACoAKgAq-,Base HP,Base STR/MGC,Base SKL,Base SPD,Base DEF,Base MDF,Base CON,Base MOV,Max HP,Max STR/MGC,Max SKL,Max SPD,Max DEF,Max MDF,Max CON,Class Relative Power,HP Growth,STR/MGC Growth,SKL Growth,SPD Growth,DEF Growth,MDF Growth,LUK Growth,HP Promotion Bonus,STR/MGC Promotion Bonus,SKL Promotion Bonus,SPD Promotion Bonus,DEF Promotion Bonus,MDF Promotion Bonus,Class Ability 1,Class Ability 2,Class Ability 3,Class Ability 4,Base Sword Level,Base Lance Level,Base Axe Level,Base Bow Level,Base Staff Level,Base Anima Level,Base Light Level,Base Dark Level,Battle Animation Pointer,Movement Type Pointer,Movement Cost(rain) Pointer,Movement Cost(snow) Pointer,Terrain avoid bonus,Terrain defence bonus,Terrain resistance bonus,Class type/weaknesses
Journeyman (1),0x2d8,0x324,0x3d,0x0,0x3c,0,FighterClassCard,0x27,14,3,0,1,1,0,8,4,60,20,20,20,20,20,20,1,85,55,40,32,18,20,40,0,0,0,0,0,0,0x0,0x0,TraineeLevelCap,0x0,0,0,ERank,0,0,0,0,0,0x88af408,FighterMoveType,FighterRainMoveType,FighterSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Pupil (1),0x2d9,0x325,0x3e,0x0,0x3d,0,MageClassCard,0x29,13,1,0,1,0,3,5,4,60,20,20,20,20,20,20,1,55,55,40,35,10,30,40,0,0,0,0,0,0,0x0,0x0,TraineeLevelCap,0x0,0,0,0,0,0,ERank,0,0,0x88af420,MageMoveType,MageRainMoveType,MageSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MageType
Fighter,0x2dc,0x327,0x3f,0x0,0x3e,0,FighterClassCard,0x23,20,5,2,4,2,0,11,5,60,20,20,20,20,20,20,3,85,55,35,30,15,15,15,2,2,1,0,0,1,0x0,0x0,0x0,0x0,0,0,DRank,0,0,0,0,0,0x88af434,FighterMoveType,FighterRainMoveType,FighterSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Warrior,0x2dd,0x328,0x40,0x0,0x3f,0,WarriorClassCard,0x25,28,8,5,6,5,0,13,6,60,30,28,26,26,22,25,3,80,45,25,20,16,17,15,3,1,2,0,3,3,0x0,IsPromoted,0x0,0x0,0,0,CRank,ERank,0,0,0,0,0x88af44c,FighterMoveType,FighterRainMoveType,FighterSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Brigand,0x2de,0x329,0x41,0x0,0x40,0,BrigandClassCard,0x0,20,5,1,5,3,0,12,5,60,20,20,20,20,20,20,3,82,50,30,20,10,13,15,2,1,1,0,1,1,0x0,0x0,0x0,0x0,0,0,DRank,0,0,0,0,0,0x88af468,BrigandMoveType,BrigandRainMoveType,BrigandSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Pirate,0x2ee,0x33a,0x42,0x0,0x41,0,PirateClassCard,0x24,19,4,2,6,3,0,10,5,60,20,20,20,20,20,20,3,75,50,35,25,10,13,15,2,2,0,1,1,0,0x0,0x0,0x0,0x0,0,0,DRank,0,0,0,0,0,0x88af480,PirateMoveType,PirateRainMoveType,PirateSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Berserker,0x2df,0x32a,0x43,0x0,0x42,0,BerserkerClassCard,0x26,24,7,6,7,6,0,13,6,60,30,29,28,23,21,25,3,75,50,35,25,10,13,15,4,1,1,1,2,2,CritBoost,IsPromoted,0x0,0x0,0,0,CRank,0,0,0,0,0,0x88af498,BerserkerMoveType,BerserkerRainMoveType,BerserkerSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Monk,0x2e4,0x32f,0x44,0x0,0x43,0,ClericClassCard,0x17,18,1,1,2,1,5,6,5,60,20,20,20,20,20,20,3,50,30,35,32,8,40,45,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,ERank,0,0x88af4b0,MageMoveType,MageRainMoveType,MageSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MageType
Priest,0x2e6,0x330,0x45,0x0,0x44,0,ClericClassCard,0x15,18,1,1,2,1,5,5,5,60,20,20,20,20,20,20,2,50,30,35,32,8,50,45,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,DRank,0,0,0,0x88af4c4,MageMoveType,MageRainMoveType,MageSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MageType
Bard,0x2e5,0x331,0x46,0x0,0x45,0,ClericClassCard,0x0,14,1,2,7,1,0,6,5,60,10,10,30,24,26,20,2,45,45,30,60,0,13,70,0,0,0,0,0,0,CanPlay,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Recruit (1),0x2da,0x332,0x47,0x0,0x46,0,SoldierClassCard,0x28,13,3,0,1,0,1,6,4,60,20,20,20,20,20,20,1,75,45,40,40,25,35,40,0,0,0,0,0,0,0x0,0x0,TraineeLevelCap,0x0,0,ERank,0,0,0,0,0,0,0x88af4d0,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Pegasus Knight,0x2e7,0x333,0x48,0x0,0x47,0,PegasusKnightClassCard,0x10,14,4,5,5,3,2,5,7,60,20,20,20,20,20,25,3,65,35,40,40,12,35,35,0,0,0,0,0,0,Mounted,PegIcon,0x0,0x0,0,DRank,0,0,0,0,0,0,0x88af4dc,FlyingMoveType,FlyingRainMoveType,FlyingSnowMoveType,NoAvoBonus,NoDefBonus,NoResBonus,FlierType
Falcon Knight,0x2e8,0x334,0x49,0x0,0x48,0,FalcoknightClassCard,0x11,20,6,7,7,5,4,6,8,60,23,25,28,23,26,25,3,60,30,30,30,12,30,30,5,2,0,2,2,2,Mounted,IsPromoted|PegIcon,TriangleAttack,0x0,ERank,CRank,0,0,0,0,0,0,0x88af4e8,FlyingMoveType,FlyingRainMoveType,FlyingSnowMoveType,NoAvoBonus,NoDefBonus,NoResBonus,FlierType
Cleric,0x2e9,0x335,0x4a,0x0,0x49,0,ClericClassCard,0x16,16,1,2,2,0,6,4,5,60,20,20,20,20,20,20,2,50,30,35,32,8,50,45,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,DRank,0,0,0,0x88af4f8,MageMoveType,MageRainMoveType,MageSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MageType
Troubadour,0x2ea,0x336,0x4b,0x0,0x4a,0,TroubadourClassCard,0x19,15,1,1,3,2,5,5,6,60,20,20,20,20,20,25,2,50,25,35,55,12,40,45,0,0,0,0,0,0,Mounted,HorseIcon,0x0,0x0,0,0,0,0,DRank,0,0,0,0x88af504,CavalierMoveType,CavalierRainMoveType,CavalierSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,HorseType|MageType
Valkyrie,0x2eb,0x337,0x4c,0x0,0x4b,0,ValkyrieClassCard,0x1a,19,4,3,5,4,8,6,7,60,25,24,25,24,28,25,3,45,35,25,45,10,40,40,3,2,1,0,2,3,Mounted,IsPromoted|HorseIcon,0x0,0x0,0,0,0,0,DRank,0,DRank,0,0x88af510,PaladinMoveType,PaladinRainMoveType,PaladinSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,HorseType|MageType
Dancer,0x2ec,0x338,0x4d,0x0,0x4c,0,ClericClassCard,0x2a,14,1,2,7,0,1,4,5,60,10,10,30,24,26,20,2,45,45,30,60,0,13,70,0,0,0,0,0,0,CanDance,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x88af528,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Soldier,0x2ed,0x339,0x4e,0x0,0x4d,0,SoldierClassCard,0x0,20,3,0,1,0,0,6,5,60,20,20,20,20,20,20,2,80,50,30,20,12,15,25,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,ERank,0,0,0,0,0,0,0x88af53c,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Necromancer,0x2ef,0x33b,0x4f,0x0,0x4e,0,DruidClassCard,0x2b,18,9,4,5,3,8,7,6,80,30,25,25,30,30,25,3,45,55,30,25,10,35,20,0,0,0,0,0,0,0x0,IsPromoted,0x0,Summoning,0,0,0,0,SRank,0,0,SRank,0x88af548,MageMoveType,MageRainMoveType,MageSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MageType
Fleet,0x2f0,0x33c,0x50,0x0,0x4f,0,FleetClassCard,0x0,19,1,1,2,5,0,25,3,60,20,20,20,30,20,25,3,75,35,40,32,15,15,15,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,CRank,0,0,0,0,0x0,PirateMoveType,PirateRainMoveType,PirateSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Phantom,0x2f1,0x33d,0x51,0x0,0x50,0,PhantomClassCard,0x1e,1,5,2,4,0,0,11,5,1,20,20,20,0,0,20,3,0,55,35,45,15,15,50,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,CRank,0,0,0,0,0,0x0,FlyingMoveType,FlyingRainMoveType,FlyingSnowMoveType,NoAvoBonus,NoDefBonus,NoResBonus,MonsterType
Revenant,0x2f2,0x33e,0x52,0x53,0x51,0,RevenantClassCard,0x0,33,2,0,0,0,0,6,4,60,20,20,20,20,20,20,3,95,50,30,20,10,13,10,0,0,0,0,0,0,0x0,0x0,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,0,0x88af560,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Entombed,0x2f3,0x33f,0x53,0x52,0x52,0,EntombedClassCard,0x0,46,3,0,1,0,0,6,5,80,25,22,21,24,22,25,1,85,40,25,17,10,13,50,0,0,0,0,0,0,0x0,IsPromoted,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,0,0x88af56c,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Bonewalker,0x2f4,0x340,0x54,0x56,0x53,0,BonewalkerClassCard,0x0,26,4,2,3,3,0,7,5,60,20,20,20,20,20,20,3,80,50,30,20,12,15,10,0,0,0,0,0,0,0x0,0x0,SwordmasterUnlock,0x0,CRank,CRank,0,0,0,0,0,0,0x88af578,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Bonewalker (Bow),0x2f4,0x340,0x55,0x57,0x54,0,BonewalkerClassCard,0x0,23,4,3,2,3,0,6,5,60,20,20,20,20,20,20,3,70,35,40,32,15,15,10,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,CRank,0,0,0,0,0x88af588,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Wight,0x2f5,0x341,0x56,0x54,0x55,0,WightClassCard,0x0,27,7,5,6,5,2,9,6,60,24,28,26,22,23,25,3,65,25,25,20,15,22,10,0,0,0,0,0,0,0x0,IsPromoted,SwordmasterUnlock,0x0,ARank,ARank,0,0,0,0,0,0,0x88af594,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Wight (Bow),0x2f5,0x341,0x57,0x55,0x56,0,WightClassCard,0x0,27,6,6,5,5,2,8,6,60,25,30,28,25,23,20,3,65,30,30,20,15,20,10,0,0,0,0,0,0,0x0,IsPromoted,0x0,0x0,0,0,0,ARank,0,0,0,0,0x88af5a4,NormalMoveType,NormalRainMoveType,NormalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Bael,0x2f6,0x342,0x58,0x59,0x57,0,BaelClassCard,0x0,33,6,3,3,6,1,12,5,60,30,28,26,26,22,25,3,82,50,30,20,18,13,15,0,0,0,0,0,0,0x0,0x0,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,0,0x88af5b0,BrigandMoveType,BrigandRainMoveType,BrigandSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Elder Bael,0x2f7,0x343,0x59,0x58,0x58,0,ElderBaelClassCard,0x0,47,8,5,5,9,4,15,6,80,30,28,26,26,22,25,3,85,45,25,20,21,17,10,0,0,0,0,0,0,0x0,IsPromoted,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,0,0x88af5bc,BrigandMoveType,BrigandRainMoveType,BrigandSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Cyclops,0x2f8,0x344,0x5a,0x9,0x59,0,CyclopsClassCard,0x0,52,8,5,6,13,0,16,5,80,29,29,28,30,25,25,3,95,30,35,25,24,25,10,0,0,0,0,0,0,0x0,IsPromoted,0x0,0x0,0,0,ARank,0,0,0,0,0,0x88af5c8,FighterMoveType,FighterRainMoveType,FighterSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Mauthe Doog,0x2f9,0x345,0x5b,0x5c,0x5a,0,MautheDoogClassCard,0x0,21,4,10,10,2,0,6,7,60,20,20,20,20,20,20,3,70,35,45,45,15,20,30,0,0,0,0,0,0,0x0,0x0,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,0,0x88af5e0,AnimalMoveType,AnimalRainMoveType,AnimalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Gwyllgi,0x2fa,0x346,0x5c,0x5b,0x5b,0,GwyllgiClassCard,0x0,27,6,12,12,5,2,8,8,60,24,29,30,22,23,20,3,65,28,35,35,16,22,25,0,0,0,0,0,0,0x0,IsPromoted,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,0,0x88af5ec,RangerMoveType,RangerRainMoveType,RangerSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Tarvos,0x2fb,0x347,0x5d,0x0,0x5c,0,TarvosClassCard,0x0,27,6,2,5,7,0,10,7,60,20,20,20,20,20,20,3,80,35,40,28,15,15,10,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,CRank,0,0,0,0,0,0x88af5f8,AnimalMoveType,AnimalRainMoveType,AnimalSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,(HorseType|MonsterType)
Maelduin,0x2fc,0x348,0x5e,0x0,0x5d,0,MaelduinClassCard,0x0,33,8,4,7,9,3,12,8,80,25,26,24,25,25,25,3,75,30,30,18,13,20,10,0,0,0,0,0,0,0x0,IsPromoted,0x0,0x0,0,0,ARank,ARank,0,0,0,0,0x88af610,RangerMoveType,RangerRainMoveType,RangerSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,(HorseType|MonsterType)
Mogall,0x2fd,0x349,0x5f,0x0,0x5e,0,MogallClassCard,0x0,20,2,1,2,2,4,4,5,60,20,20,20,20,20,20,3,50,45,32,30,10,28,30,0,0,0,0,0,0,0x0,0x0,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,CRank,0x88af62c,FlyingMoveType,FlyingRainMoveType,FlyingSnowMoveType,NoAvoBonus,NoDefBonus,NoResBonus,MonsterType
Arch Mogall,0x2fe,0x34a,0x60,0x0,0x5f,0,ArchMogallClassCard,0x0,22,6,3,3,3,7,5,6,60,29,26,26,20,29,20,3,45,55,30,25,10,28,20,0,0,0,0,0,0,0x0,IsPromoted,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,ARank,0x88af640,FlyingMoveType,FlyingRainMoveType,FlyingSnowMoveType,NoAvoBonus,NoDefBonus,NoResBonus,MonsterType
Gorgon,0x2ff,0x34b,0x61,0x0,0x60,0,GorgonClassCard,0x0,25,8,3,4,5,7,11,6,60,29,26,26,21,28,25,3,45,60,30,25,10,40,30,0,0,0,0,0,0,0x0,IsPromoted,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,ARank,0x88af654,MageMoveType,MageRainMoveType,MageSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Gorgon Egg,0x300,0x34c,0x62,0x0,0x61,0,GorgonClassCard,0x0,65,0,0,0,10,10,6,0,60,30,30,30,30,30,30,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Gargoyle,0x301,0x34d,0x63,0x0,0x62,0,GargoyleClassCard,0x0,25,6,3,6,6,0,8,6,60,20,20,20,20,20,20,3,80,45,35,35,25,15,10,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,CRank,0,0,0,0,0,0,0x88af668,FlyingMoveType,FlyingRainMoveType,FlyingSnowMoveType,NoAvoBonus,NoDefBonus,NoResBonus,(FlierType|MonsterType)
Deathgoyle,0x302,0x34e,0x64,0x0,0x63,0,DeathgoyleClassCard,0x0,30,8,5,8,9,1,11,7,60,27,25,23,28,22,25,3,75,40,30,25,20,17,10,0,0,0,0,0,0,0x0,IsPromoted,0x0,0x0,0,ARank,0,0,0,0,0,0,0x88af674,FlyingMoveType,FlyingRainMoveType,FlyingSnowMoveType,NoAvoBonus,NoDefBonus,NoResBonus,(FlierType|MonsterType)
Dracozombie,0x303,0x34f,0x65,0x0,0x64,0,DracoZombieClassCard,0x0,69,1,0,1,0,3,25,5,100,50,50,50,50,50,25,3,85,35,20,20,30,10,25,0,0,0,0,0,0,0x0,IsPromoted,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,0,0x88af680,FlyingMoveType,FlyingRainMoveType,FlyingSnowMoveType,NoAvoBonus,NoDefBonus,NoResBonus,(FlierType|DragonType|MonsterType)
Demon King,0x304,0x350,0x66,0x0,0x65,0,DemonKingClassCard,0x0,120,23,20,18,25,25,25,2,120,50,50,50,50,50,25,5,95,40,30,20,20,20,25,0,0,0,0,0,0,0x0,IsPromoted,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,0,0x88af68c,DemonKingType,DemonKingType,DemonKingType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Archer on Ballista,0x0,0x0,0x67,0x0,0x66,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Archer on Iron Ballista,0x0,0x0,0x68,0x0,0x67,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Archer on Killer Ballista,0x0,0x0,0x69,0x0,0x68,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Ballista,0x0,0x0,0x6a,0x0,0x69,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Iron Ballista,0x0,0x0,0x6b,0x0,0x6a,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Killer Ballista,0x0,0x0,0x6c,0x0,0x6b,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Civilian,0x305,0x351,0x6d,0x0,0x6c,0,LittleBoyMug,0x0,8,1,0,0,0,0,4,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Civilian (F),0x305,0x351,0x6e,0x0,0x6d,0,LittleGirlMug,0x0,7,0,0,0,0,1,3,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Civilian,0x305,0x351,0x6f,0x0,0x6e,0,OldManMug,0x0,10,0,1,0,0,2,6,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Civilian (F),0x305,0x351,0x70,0x0,0x6f,0,TeenFemaleMug,0x0,9,0,1,0,0,1,4,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Civilian,0x305,0x351,0x71,0x0,0x70,0,YoungManMug,0x0,12,3,0,0,2,0,7,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Civilian (F),0x305,0x351,0x72,0x0,0x71,0,YoungWomanMug,0x0,10,0,1,0,1,1,5,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Peer,0x0,0x0,0x73,0x0,0x72,SlowWalk,QuestionMarkMug,0x0,10,0,0,0,0,0,8,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Queen,0x307,0x353,0x74,0x0,0x73,0,QuestionMarkMug,0x0,10,0,0,0,0,0,5,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Prince,0x0,0x0,0x75,0x0,0x74,0,QuestionMarkMug,0x0,10,0,0,0,0,0,7,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Queen,0x307,0x353,0x76,0x0,0x75,0,QuestionMarkMug,0x0,10,0,0,0,0,0,6,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Light Rune,0x0,0x0,0x77,0x0,0x76,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Fallen Prince,0x0,0x0,0x78,0x0,0x77,0,QuestionMarkMug,0x0,10,0,0,0,0,0,25,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Tent,0x0,0x0,0x79,0x0,0x78,0,QuestionMarkMug,0x0,15,0,3,3,3,0,25,0,60,20,20,20,20,20,25,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,IsSupply,CannotControl,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Pontifex,0x306,0x352,0x7a,0x0,0x79,0,QuestionMarkMug,0x0,10,0,0,0,0,0,8,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Dead Peer,0x0,0x0,0x7b,0x0,0x7a,0,QuestionMarkMug,0x0,10,0,0,0,0,0,25,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,CivilianMoveType,CivilianRainMoveType,CivilianSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Cyclops,0x2f8,0x344,0x7c,0x0,0x7b,0,CyclopsClassCard,0x0,52,8,5,6,13,0,16,5,80,29,29,28,30,25,25,3,95,30,35,25,24,25,10,0,0,0,0,0,0,0x0,IsPromoted,0x0,0x0,0,0,SRank,0,0,0,0,0,0x88af6a4,FighterMoveType,FighterRainMoveType,FighterSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Elder Bael,0x2f7,0x343,0x7d,0x0,0x7c,0,ElderBaelClassCard,0x0,47,8,5,5,9,4,15,6,80,30,28,26,26,22,25,3,85,45,25,20,21,17,10,0,0,0,0,0,0,0x0,IsPromoted,UseMonsterWeapons,0x0,0,0,0,0,0,0,0,0,0x88af6bc,BrigandMoveType,BrigandRainMoveType,BrigandSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MonsterType
Journeyman (2),0x2d8,0x324,0x7e,0x0,0x7d,0,FighterClassCard,0x27,20,5,3,4,2,1,8,5,60,20,20,20,20,20,20,3,85,55,40,32,18,20,40,2,0,2,0,2,2,0x0,0x0,0x0,0x0,0,0,CRank,0,0,0,0,0,0x88af6c8,FighterMoveType,FighterRainMoveType,FighterSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,0x0
Pupil (2),0x2d9,0x325,0x7f,0x0,0x7e,0,MageClassCard,0x29,17,2,3,3,3,3,5,5,60,20,20,20,20,20,20,3,55,55,40,35,10,30,40,2,1,1,0,2,2,0x0,0x0,0x0,0x0,0,0,0,0,0,DRank,0,0,0x88af6e0,MageMoveType,MageRainMoveType,MageSnowMoveType,GetAvoBonus,GetDefBonus,GetResBonus,MageType
